officer_id,age,gender,marital_status,rank,unit,years_of_service,avg_weekly_hours,night_shift_ratio,overtime_hours_month,critical_incidents_last_year,trauma_exposure_index,sick_days_last_year,internal_complaints_last_2y,duty_satisfaction,work_env_rating,work_life_balance,mental_health_risk_flag,base_pay_band,promotion_last_3y,transfer_last_2y,posted_in_high_risk_area,attrition
21,42,Male,Married,Deputy SP,Intelligence,35.0,35.64901866375337,0.43,66.98742558466525,4,3.48,2,0,3,3,2,0,Medium,1,0,1,0
22,48,Male,Divorced,Constable,Patrol,1.8,50.35598184137159,0.33,25.412051475291303,2,2.37,7,0,3,2,3,0,Medium,0,0,0,0
23,29,Female,Single,Head Constable,Patrol,19.1,44.11278828456918,0.46,43.22823556752731,3,2.13,9,0,4,4,5,1,Medium,1,0,0,0
24,45,Male,Divorced,Constable,Cyber Crime,9.7,65.69213760570207,0.48,21.98856542535972,2,1.53,6,0,1,2,1,0,Low,0,0,0,1
25,26,Female,Married,Assistant Sub-Inspector,Patrol,6.4,47.185972802206635,0.22,6.8677778506499525,0,0.0,4,0,3,5,3,0,High,0,0,0,0
26,31,Male,Married,Head Constable,Investigation,5.1,72.9510010583064,0.19,43.79573022798709,1,1.04,12,0,2,5,5,0,Low,0,0,0,0
27,43,Male,Married,Constable,Intelligence,6.9,60.26324195391031,0.27,40.45797556103369,2,3.01,5,0,2,3,3,0,Low,1,0,0,0
28,25,Male,Married,Head Constable,Patrol,3.6,53.15450341759744,0.54,29.033252016000134,0,0.0,5,0,3,3,2,0,Medium,0,1,0,0
29,35,Male,Single,Sub-Inspector,Special Operations,22.2,44.4913310704937,0.74,77.57528291860919,5,8.73,5,1,3,2,2,0,Low,0,1,0,0
30,29,Male,Married,Head Constable,Cyber Crime,7.0,45.440165891821415,0.19,19.39253145325141,2,2.25,7,0,1,2,1,0,Medium,0,0,0,0
31,34,Male,Divorced,Assistant Sub-Inspector,Patrol,7.5,68.72191624653671,0.16,21.223459314970352,2,2.62,12,0,2,5,3,0,Medium,0,1,0,0
32,21,Male,Single,Assistant Sub-Inspector,Traffic,19.9,57.33860990735161,0.39,28.184123209632236,2,2.69,8,1,3,1,2,1,Medium,1,0,0,1
33,22,Male,Married,Sub-Inspector,Special Operations,35.0,58.4854295427569,0.94,42.2178966388761,6,9.22,7,0,3,4,3,1,Very High,1,1,0,1
34,30,Male,Married,Head Constable,Investigation,7.1,58.83464996595475,0.12,14.332353016163442,3,4.03,8,0,4,4,5,0,Medium,0,0,1,0
35,43,Male,Married,Head Constable,Patrol,6.8,43.27677664366502,0.28,39.241222489805665,2,2.68,5,1,1,5,2,0,Low,0,1,0,0
36,35,Male,Married,Head Constable,Patrol,3.3,61.68899802603061,0.23,31.840219880571002,2,1.73,7,1,1,3,2,0,Medium,0,1,0,0
37,36,Female,Divorced,Constable,Traffic,9.9,61.923530073409026,0.38,27.797971369023788,2,2.9,4,1,2,4,1,0,Low,1,1,1,0
38,42,Male,Married,Head Constable,Patrol,7.9,48.45527541203919,0.21,31.449946586481094,2,2.14,6,0,1,5,5,0,Low,1,0,0,0
39,29,Male,Married,Constable,Patrol,8.1,57.49337840600528,0.25,5.765117423713495,1,0.88,4,0,1,5,1,0,Low,0,0,0,1
40,38,Male,Married,Assistant Sub-Inspector,Investigation,8.2,69.71469173846582,0.3,32.20677312497503,2,1.85,4,1,1,4,2,1,Medium,0,0,0,1
41,30,Male,Married,Assistant Sub-Inspector,Patrol,10.3,62.35391143905665,0.18,30.28203788390829,0,0.0,4,1,1,4,4,0,Medium,0,1,1,0
42,22,Male,Single,Constable,Special Operations,20.0,55.63999213919519,0.38,33.35701629276423,5,9.36,10,0,2,4,3,0,High,1,0,0,1
43,33,Male,Divorced,Constable,Intelligence,5.7,51.35928290177176,0.91,57.498021416447905,3,4.61,6,1,1,4,1,0,Low,1,0,0,1
44,41,Female,Married,Head Constable,Traffic,7.2,51.832331610216784,0.27,11.193232289765119,0,0.0,2,0,1,5,4,0,Medium,0,0,0,0
45,39,Male,Divorced,Sub-Inspector,Patrol,35.0,46.68173566101586,0.42,26.986716428554296,3,3.87,4,0,3,5,3,0,High,0,0,1,0
46,36,Female,Single,Assistant Sub-Inspector,Investigation,5.2,49.30766541776528,0.47,23.592745065623596,1,1.43,4,2,3,4,2,0,Low,0,0,0,0
47,55,Male,Married,Assistant Sub-Inspector,Patrol,35.0,41.79653713174584,0.7,54.54397558307913,3,4.37,3,0,2,2,4,0,Very High,1,1,0,0
48,39,Male,Married,Head Constable,Women & Child Protection,7.6,57.0021945795906,0.24,17.441710213598338,2,2.01,9,0,4,4,3,1,Low,0,0,0,0
49,44,Female,Married,Head Constable,Traffic,3.8,54.26052356418436,0.54,28.669037383587565,2,1.99,5,0,4,1,3,0,Medium,0,0,1,0
50,54,Male,Single,Assistant Sub-Inspector,Patrol,12.2,39.8441917316993,0.6,38.34477312490245,3,2.51,7,0,3,2,5,1,High,0,0,0,0
51,26,Male,Divorced,Constable,Patrol,6.5,59.190025757632895,0.41,51.79852703160696,2,1.72,8,0,4,1,4,0,Low,0,1,0,1
52,28,Female,Married,Assistant Sub-Inspector,Intelligence,11.0,63.212297610159126,0.71,22.051032048007723,0,0.0,10,0,4,3,2,1,Medium,0,1,0,0
53,50,Male,Single,Head Constable,Cyber Crime,3.8,58.99625734453436,0.44,40.57140289397464,0,0.0,11,0,5,5,3,0,Medium,0,0,0,0
54,30,Female,Married,SP+,Anti-Terror,35.0,46.91448755170394,0.21,65.6786818639731,4,8.4,2,0,1,2,3,0,Medium,0,0,1,0
55,36,Male,Single,Inspector,Special Operations,35.0,68.57919882248375,0.51,24.404270682506944,5,6.69,6,0,2,2,1,1,Low,0,1,0,1
56,45,Male,Married,Constable,Patrol,6.9,49.731066334793105,0.28,27.401665608243146,2,1.45,3,0,4,1,2,0,Low,0,0,1,0
57,43,Male,Married,Constable,Traffic,9.3,56.04094797532147,0.72,55.149162710032314,2,2.41,9,0,5,3,3,0,Medium,0,0,0,0
58,50,Male,Married,Constable,Patrol,12.2,51.372651364447705,0.54,64.16192129973014,2,2.93,8,0,1,3,3,0,High,0,0,0,1
59,48,Male,Single,Head Constable,Patrol,17.7,61.03349383901065,0.33,35.060409291310464,1,1.35,6,0,4,3,2,1,Very High,0,0,0,1
60,45,Male,Married,Head Constable,Traffic,16.8,63.27672426471104,0.34,39.99639015663787,0,0.0,9,0,5,2,5,0,High,0,0,1,0
61,30,Male,Married,Constable,Patrol,7.3,50.290301499048546,0.44,33.503598305507055,1,1.4,6,0,2,2,4,0,Very High,0,1,0,0
62,42,Male,Single,Deputy SP,Anti-Terror,12.1,46.77832094718605,0.19,31.99573234980933,6,12.12,8,0,2,5,1,0,Low,0,0,0,0
63,39,Male,Married,Constable,Anti-Terror,15.7,48.03002674107721,0.28,44.71947673783802,9,15.35,4,0,1,4,3,0,High,0,0,0,1
64,25,Male,Married,Assistant Sub-Inspector,Investigation,12.8,40.223773042195056,0.7,21.83033040278277,6,7.92,6,0,2,2,1,0,Low,0,1,0,1
65,47,Male,Widowed,Head Constable,Traffic,14.1,53.70863053414603,0.27,16.284638687455143,3,4.13,10,1,3,3,5,0,Medium,0,0,0,0
66,42,Male,Single,Head Constable,Patrol,14.4,64.53479931261629,0.08,25.21265460220462,1,1.0,5,0,1,2,5,0,Low,1,0,0,0
67,36,Male,Single,Sub-Inspector,Patrol,26.8,66.89639501849854,0.52,31.812882256688514,2,2.06,5,0,5,4,1,1,Low,0,1,0,0
68,34,Male,Married,Constable,Investigation,4.2,66.03851953539477,0.32,36.53126429812078,3,4.53,10,0,3,3,4,0,Medium,0,0,0,1
69,26,Male,Married,Inspector,Special Operations,35.0,35.7937251083718,0.16,32.98380808152644,7,12.69,5,0,1,3,2,0,Medium,0,0,0,0
70,38,Female,Single,Constable,Special Operations,1.7,54.188997530394936,0.54,78.20932211385886,8,9.13,5,0,2,4,5,0,Low,0,0,1,1
71,40,Male,Widowed,Constable,Patrol,10.0,55.304537946576865,0.54,56.11496290047843,3,2.26,2,0,2,3,5,0,Medium,0,0,0,0
72,29,Male,Married,Head Constable,Intelligence,6.0,56.900372132837646,0.61,17.056502911064307,1,1.23,6,0,2,3,3,0,Low,0,0,0,0
73,45,Male,Single,Sub-Inspector,Special Operations,8.5,55.29464343338957,0.13,46.29591337520051,5,10.78,5,0,3,2,2,0,Medium,0,1,0,1
74,27,Male,Married,Assistant Sub-Inspector,Intelligence,6.4,49.634757444958574,0.42,20.96122192849224,1,1.12,2,0,1,4,1,0,Medium,0,1,0,1
75,21,Female,Divorced,Constable,Women & Child Protection,0.5,55.718301726980556,0.51,23.916204724607258,1,2.95,6,0,5,2,3,0,Low,0,0,1,0
76,44,Male,Single,Sub-Inspector,Intelligence,9.6,46.68479403590656,0.4,21.26439875676066,3,3.35,11,0,5,5,4,0,Very High,0,0,0,0
77,33,Male,Married,Sub-Inspector,Cyber Crime,15.9,44.71125058289696,0.41,77.98349318265586,1,1.08,7,1,2,2,2,0,High,0,1,0,0
78,35,Male,Single,Assistant Sub-Inspector,Investigation,5.1,53.290149959282054,0.33,27.05548344782547,1,1.21,4,0,3,4,3,1,High,0,0,0,0
79,29,Male,Single,Head Constable,Investigation,9.8,57.66633264993559,0.68,30.006344242838615,5,7.88,6,0,2,4,3,0,High,0,0,1,0
80,23,Male,Single,Head Constable,Patrol,3.4,52.70281388813763,0.23,12.207931516041738,0,0.0,10,0,4,3,4,1,Low,1,1,0,0
81,46,Male,Single,Deputy SP,Intelligence,17.8,48.889422102342735,0.47,42.78643521276501,0,0.0,8,0,5,2,3,1,Low,0,0,1,1
82,30,Male,Married,SP+,Traffic,23.3,57.02664521911826,0.06,43.450883347424956,1,1.25,7,0,5,3,2,0,Medium,1,1,1,0
83,49,Male,Divorced,Sub-Inspector,Traffic,19.5,60.28466177346887,0.79,33.71681125921853,4,4.88,7,0,3,3,1,0,Low,0,0,1,0
84,42,Male,Single,Constable,Patrol,0.5,61.37880349545067,0.41,81.76737458940345,3,2.59,4,3,2,4,4,0,Medium,0,0,1,0
85,33,Male,Married,Deputy SP,Investigation,19.2,38.332377428759564,0.54,27.53048060279815,5,5.65,7,0,4,3,5,0,Very High,0,1,1,0
86,27,Male,Married,Constable,Patrol,16.6,56.13987177422961,0.08,26.861825057506426,1,0.7,6,0,4,2,3,1,Low,0,0,0,0
87,30,Male,Divorced,Constable,Intelligence,3.7,61.79149832664496,0.44,28.721760567289788,1,1.31,4,0,1,1,5,0,Medium,0,0,1,0
88,26,Male,Single,Assistant Sub-Inspector,Patrol,17.2,68.16420982179008,0.52,10.558744470956889,1,1.47,5,1,1,4,3,0,Low,0,0,0,0
89,53,Male,Single,Constable,Investigation,1.3,51.91599824561017,0.35,29.92639922839975,6,8.61,4,0,5,3,1,0,Low,1,1,0,0
90,37,Female,Married,Inspector,Investigation,20.8,49.96637609528781,0.28,48.15101049407061,3,4.2,5,0,2,4,4,0,Low,1,0,0,0
91,45,Male,Single,Constable,Patrol,5.1,63.28391473310428,0.71,16.817761886970295,2,2.29,7,0,3,2,5,0,Low,0,1,0,0
92,26,Male,Widowed,Constable,Patrol,0.7,44.710444138825196,0.71,19.62915288198166,2,1.85,7,0,2,2,3,1,Low,0,0,0,0
93,37,Male,Divorced,Sub-Inspector,Patrol,34.7,62.57756527558384,0.46,13.174790389102059,3,2.47,8,0,4,4,2,0,Low,0,0,0,0
94,45,Male,Single,Head Constable,Patrol,3.4,55.05150788552935,0.56,52.4448618596298,1,1.28,9,0,2,4,3,0,High,0,0,1,0
95,33,Male,Married,Head Constable,Anti-Terror,16.4,54.55084366979172,0.43,15.506014250639415,6,8.94,1,0,3,2,1,0,Low,0,0,0,0
96,44,Male,Married,Assistant Sub-Inspector,Traffic,18.4,49.24104758665465,0.7,76.62162273718903,2,2.16,5,0,4,2,2,0,Medium,0,0,0,1
97,27,Male,Single,Head Constable,Traffic,11.2,57.08137865631004,0.29,17.057956573023816,2,2.88,6,1,5,4,3,0,Low,0,1,0,0
98,25,Male,Married,Assistant Sub-Inspector,Cyber Crime,11.3,55.25987976122598,0.13,25.443323402736738,2,2.39,8,1,4,1,3,0,Medium,0,0,1,0
99,39,Male,Married,Inspector,Investigation,18.1,48.50993343554262,0.73,11.281359245776724,3,4.04,4,0,1,1,5,0,Low,0,0,1,0
100,33,Male,Single,Inspector,Women & Child Protection,13.8,65.9630273217776,0.7,19.159234053231103,3,5.48,5,0,5,3,3,0,Low,0,1,0,1
101,41,Male,Married,Head Constable,Patrol,4.8,57.91608315477562,0.49,10.97998843905171,1,1.26,5,0,5,4,3,0,Low,0,1,1,0
102,21,Male,Married,Inspector,Intelligence,31.2,38.87766939567566,0.53,40.976225694947544,1,1.6,5,0,1,2,3,1,Medium,0,1,0,0
103,42,Male,Single,Sub-Inspector,Cyber Crime,13.6,46.779248473607694,0.43,20.16103934507407,1,0.98,3,0,2,2,3,0,Medium,1,1,0,1
104,57,Male,Married,Sub-Inspector,Traffic,30.3,56.3176639825054,0.34,48.715664373359715,1,0.88,6,0,5,2,1,1,Medium,0,1,0,0
105,36,Male,Single,Sub-Inspector,Patrol,8.0,61.28370700610405,0.36,26.745031141248305,3,2.57,7,0,1,3,4,1,Medium,0,1,0,1
106,36,Male,Married,Sub-Inspector,Traffic,23.5,64.99784424459395,0.48,35.15142036269197,0,0.0,4,2,2,3,4,0,High,1,0,0,1
107,37,Male,Married,Assistant Sub-Inspector,Special Operations,22.4,47.97965251991012,0.23,25.21604977017946,2,6.18,10,1,2,4,4,0,Low,0,0,0,0
108,21,Male,Single,Sub-Inspector,Investigation,21.9,59.65804487790758,0.33,27.859497225977428,1,0.92,5,0,3,2,3,0,High,0,0,1,0
109,39,Male,Married,Assistant Sub-Inspector,Patrol,19.7,57.25547984337177,0.65,25.897355144516496,3,2.68,4,0,3,3,3,0,High,0,0,1,0
110,23,Male,Single,Head Constable,Patrol,9.7,66.32562660733758,0.62,54.31014864606582,1,1.18,5,1,2,2,5,1,High,0,0,0,0
111,33,Female,Single,Assistant Sub-Inspector,Investigation,11.9,56.09669069677766,0.32,41.69537937194312,3,4.19,3,0,1,5,3,0,Low,0,1,0,0
112,46,Male,Divorced,Sub-Inspector,Patrol,7.8,57.464186864675256,0.2,24.946603050550923,2,1.64,5,0,3,4,1,1,Medium,0,0,0,1
113,30,Male,Single,Specialized Tactical,Cyber Crime,7.7,58.68516776647346,0.22,45.9127262396084,1,0.91,7,0,1,1,1,1,Medium,1,1,1,0
114,40,Female,Single,Head Constable,Anti-Terror,16.8,47.50522172188942,0.64,22.879884122413596,5,9.33,3,0,1,4,2,1,High,0,0,1,1
115,44,Male,Married,Sub-Inspector,Patrol,17.2,56.281265007856916,0.51,36.39125875183364,1,0.97,5,1,2,2,4,1,Medium,1,0,0,1
116,38,Male,Married,Constable,Cyber Crime,1.7,52.61899646730911,0.36,10.271313110827691,2,1.81,6,0,4,3,4,0,High,0,1,0,0
117,25,Female,Married,Constable,Investigation,4.3,49.097278740227146,0.27,24.836796718956286,1,0.82,3,0,5,3,3,0,Medium,1,0,0,0
118,33,Female,Married,Assistant Sub-Inspector,Traffic,7.8,50.59479381338352,0.17,20.463358367698383,1,1.54,3,0,5,5,2,1,Low,1,1,0,0
119,52,Male,Single,Constable,Intelligence,0.8,65.05100902278316,0.34,18.84913934252542,0,0.0,5,1,5,2,2,0,Medium,0,1,0,0
120,21,Male,Married,Sub-Inspector,Anti-Terror,31.5,59.32261272806803,0.27,29.604920657180386,7,13.21,2,1,2,2,4,1,Low,0,0,0,1
121,34,Female,Married,Head Constable,Investigation,4.9,57.70463970059088,0.29,37.259067940646695,4,2.95,4,0,3,2,5,0,Medium,0,0,0,0
122,32,Male,Married,Constable,Cyber Crime,3.3,62.8954850960336,0.39,51.558768396801455,3,4.4,7,0,3,3,1,0,Medium,0,0,0,0
123,37,Female,Married,Assistant Sub-Inspector,Investigation,14.4,47.86005362043002,0.62,37.660188245125646,2,2.9,6,0,3,2,5,1,Low,1,0,0,0
124,42,Male,Married,Sub-Inspector,Investigation,7.0,60.81904673595089,0.72,35.684871965664044,4,5.73,10,0,1,4,2,0,Very High,1,0,0,0
125,49,Male,Married,Sub-Inspector,Patrol,35.0,67.92721857841293,0.71,30.34688455695304,2,1.46,5,0,3,5,3,0,Low,0,0,0,0
126,34,Male,Married,Inspector,Patrol,13.3,56.359224456325066,0.25,38.85175075257331,1,0.92,16,0,2,2,4,0,High,1,1,0,1
127,42,Male,Single,Sub-Inspector,Investigation,34.1,51.40627998205292,0.35,26.89282544862621,1,0.9,3,0,4,2,4,1,Low,0,0,1,0
128,40,Male,Single,Assistant Sub-Inspector,Patrol,13.1,46.99026508601426,0.23,47.22530806682761,2,2.12,3,0,5,2,4,0,Medium,0,1,1,0
129,40,Female,Single,Deputy SP,Cyber Crime,35.0,59.415564696247245,0.26,38.17592917094318,1,0.81,12,0,2,4,2,1,Low,0,1,0,0
130,31,Male,Married,Head Constable,Special Operations,25.8,47.93003377485036,0.64,11.398196908384387,11,12.39,11,1,1,1,2,0,Medium,0,0,0,0
131,28,Female,Single,Constable,Anti-Terror,4.1,65.26785700255493,0.05,32.15802378946143,12,24.47,10,0,3,3,2,1,Low,0,0,1,1
132,27,Male,Widowed,Constable,Investigation,3.2,57.29757512247019,0.06,11.719869600035892,4,2.89,5,0,1,3,3,0,Low,0,0,0,0
133,30,Male,Married,Constable,Traffic,0.6,75.93691863570906,0.46,24.055602029673917,2,2.79,9,0,2,4,2,0,High,0,0,0,1
134,39,Male,Widowed,Assistant Sub-Inspector,Traffic,6.6,56.48901886068146,0.59,29.766587673061636,2,3.1,11,1,4,4,1,0,Low,0,1,0,0
135,42,Female,Married,Inspector,Patrol,25.2,67.69607975260419,0.76,27.296432025808,4,2.82,3,0,1,3,3,0,Medium,0,0,0,0
136,39,Male,Married,Head Constable,Traffic,9.1,35.0,0.28,28.42715120901232,2,1.72,7,0,2,3,1,0,Low,0,1,1,0
137,32,Female,Married,Head Constable,Cyber Crime,21.4,35.0,0.4,36.53612825606218,5,3.85,5,1,4,4,4,0,Low,0,0,1,0
138,50,Male,Married,Constable,Traffic,7.2,54.41034849111897,0.46,35.26363788917023,3,3.27,9,0,1,4,5,0,Medium,0,0,0,1
139,48,Male,Married,Inspector,Women & Child Protection,26.5,59.78085187461417,0.46,18.288725036647996,3,6.67,5,0,1,2,2,0,High,0,1,0,0
140,33,Male,Married,Assistant Sub-Inspector,Patrol,9.5,44.970837936489524,0.56,28.56032807148327,1,1.41,5,0,4,2,1,0,Medium,0,0,0,0
141,29,Male,Married,Constable,Investigation,6.8,56.46094384740896,0.55,9.954787066157825,2,1.76,3,0,4,1,1,0,Low,1,1,0,0
142,37,Female,Married,Assistant Sub-Inspector,Patrol,6.3,56.49298760660151,0.12,29.809237459226008,3,2.27,3,1,3,4,3,0,Low,0,1,0,0
143,46,Female,Married,Constable,Intelligence,4.8,53.80690288056466,0.38,3.2677183034328974,1,1.31,7,0,3,5,2,1,Low,0,0,0,0
144,39,Male,Divorced,Deputy SP,Cyber Crime,24.5,66.65724767901658,0.46,10.92004333318161,2,2.19,5,0,5,4,4,1,Medium,0,0,0,0
145,40,Male,Married,Assistant Sub-Inspector,Traffic,13.3,59.641770871112755,0.68,77.50611003898348,5,4.54,7,0,4,4,3,0,Low,0,1,0,1
146,34,Male,Married,Head Constable,Women & Child Protection,6.2,52.987270552030104,0.33,38.98847072687277,3,8.31,3,0,3,2,4,0,Low,0,0,1,0
147,40,Male,Married,Constable,Anti-Terror,0.5,56.776131624367764,0.83,6.444615167155838,2,14.43,5,2,2,2,1,0,Medium,0,1,0,1
148,48,Male,Married,Head Constable,Intelligence,5.6,54.423022360921955,0.18,34.63758040715564,4,4.33,5,1,2,4,4,0,Low,0,0,0,0
149,34,Male,Single,Constable,Investigation,1.9,63.41553515857743,0.48,26.414815116990127,4,3.9,4,0,1,2,4,0,Low,0,0,0,0
150,37,Male,Married,Constable,Investigation,3.8,45.231797453594346,0.6,26.46981913727187,0,0.0,4,0,2,4,3,0,Low,0,0,0,0
151,38,Male,Married,Inspector,Women & Child Protection,16.6,70.40092716250011,0.29,41.90394957260231,2,4.04,4,1,4,4,5,1,Medium,1,0,0,0
152,38,Male,Married,Head Constable,Cyber Crime,11.3,51.327718836054494,0.19,36.0901317019937,1,1.22,7,0,5,4,3,0,Low,0,0,0,0
153,25,Female,Married,Assistant Sub-Inspector,Investigation,24.6,66.64483375742691,0.18,58.51869964137624,4,6.07,7,0,2,4,2,0,High,0,1,1,0
154,21,Male,Married,Constable,Traffic,5.4,57.888372099571065,0.43,13.497011263378768,4,5.83,6,1,1,2,2,1,Medium,0,1,1,1
155,28,Female,Married,Constable,Special Operations,0.5,58.90334908182937,0.29,31.617946683272244,3,8.15,6,0,3,4,2,1,Medium,0,0,0,0
156,37,Male,Married,SP+,Patrol,35.0,61.03515517222707,0.6,36.19509159261875,2,3.03,1,0,4,5,4,0,Low,0,0,0,0
157,40,Male,Married,Deputy SP,Traffic,14.4,60.65359357600035,0.22,62.08333939406287,1,1.45,7,0,2,3,3,0,Low,0,0,1,0
158,32,Male,Married,Constable,Anti-Terror,0.5,57.78150393115601,0.29,42.885868479434976,4,9.69,4,0,4,2,2,0,Medium,0,1,1,0
159,47,Male,Married,Head Constable,Anti-Terror,4.5,41.01278246414403,0.46,39.73803773714272,3,6.36,6,1,1,3,1,0,Low,0,0,1,1
160,35,Female,Single,Head Constable,Intelligence,4.6,63.38017712478708,0.27,50.412608325593624,0,0.0,2,0,2,1,4,0,Medium,0,0,0,0
161,36,Male,Divorced,Sub-Inspector,Traffic,10.3,57.76321112001797,0.25,50.24841198030556,1,1.22,4,1,4,2,2,0,Medium,0,1,0,0
162,34,Male,Married,Constable,Patrol,0.7,53.725505853247945,0.64,42.76686920306538,2,2.1,3,0,3,4,2,0,Low,1,1,1,0
163,37,Male,Married,Constable,Investigation,14.2,57.771879701858566,0.15,29.866491408960616,5,5.48,6,0,2,4,2,0,Low,0,0,0,0
164,42,Female,Married,Assistant Sub-Inspector,Special Operations,10.6,51.34834665879582,0.22,33.96440023130549,5,7.63,4,0,3,3,2,0,Low,0,0,1,0
165,41,Male,Married,Sub-Inspector,Investigation,10.5,42.72878081557248,0.13,21.558899077236497,3,3.36,6,0,2,3,2,0,High,0,0,1,0
166,29,Male,Married,Head Constable,Intelligence,8.3,53.46062716635597,0.17,51.70036400806533,0,0.0,3,0,1,4,4,0,Low,1,0,0,0
167,48,Male,Married,Inspector,Intelligence,18.8,42.48046245974219,0.47,35.2219670257781,2,1.94,9,0,4,3,4,1,Low,0,1,1,0
168,27,Male,Divorced,Assistant Sub-Inspector,Anti-Terror,30.3,60.409365355292465,0.49,11.888593786343405,5,9.25,10,1,4,3,3,0,Medium,1,1,0,0
169,37,Male,Single,Head Constable,Traffic,19.5,54.96275770402263,0.79,28.45910164719758,3,4.68,4,2,3,3,2,0,Low,0,0,0,0
170,34,Male,Married,Head Constable,Traffic,9.1,43.56402388088409,0.52,48.94327305592134,0,0.0,12,0,5,2,4,1,Low,0,0,0,0
171,28,Female,Married,Constable,Special Operations,0.8,67.60193447789888,0.44,34.22113446934717,7,12.0,0,0,4,4,2,1,Medium,0,1,0,1
172,35,Male,Married,Constable,Cyber Crime,5.5,71.1312957539084,0.73,56.28568424753746,3,2.96,3,0,4,2,3,0,Low,0,1,0,1
173,30,Male,Married,Deputy SP,Investigation,17.2,52.61839385953469,0.56,62.78856811774026,3,3.81,4,0,4,3,3,0,Medium,0,0,0,0
174,37,Male,Single,Constable,Investigation,3.4,51.051378399719496,0.42,70.9985475994773,3,3.51,6,0,1,4,1,1,Very High,0,1,1,1
175,39,Female,Married,Deputy SP,Investigation,26.7,52.64915088409373,0.86,15.463789518268705,3,3.02,12,0,2,4,5,1,Medium,0,0,0,0
176,48,Male,Married,Assistant Sub-Inspector,Patrol,34.6,40.47047913203197,0.66,48.52849184587167,2,1.85,2,0,3,3,3,1,Low,0,0,1,0
177,38,Male,Married,Assistant Sub-Inspector,Traffic,20.1,50.01221624769596,0.16,27.237018522366373,0,0.0,3,0,2,1,4,1,Medium,0,0,0,0
178,31,Male,Single,Head Constable,Traffic,6.0,48.40957209710385,0.27,36.86807344002791,2,2.66,12,1,1,2,4,0,Low,0,0,0,0
